Name,TroopLevel,Deprecated,TID,InfoTID,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeTimeM,UpgradeResource,UpgradeCost,DonateCost,DonateXP,DonateCount,AttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,AreaDamageIgnoresWalls,SelfAsAoeCenter,IconSWF,IconExportName,BigPicture,BigPictureSWF,Projectile,AltProjectile,PreferedTargetBuilding,PreferedTargetBuildingClass,PreferredTargetNoTargeting,DeployEffect,AttackEffect,AttackEffect2,HitEffect,HitEffect2,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,DieEffect2,Animation,ProductionBuilding,IsJumper,MovementOffsetAmount,MovementOffsetSpeed,TombStone,DieDamage,DieDamageRadius,DieDamageEffect,DieDamageDelay,DisableProduction,SecondaryTroop,IsSecondaryTroop,SecondaryTroopCnt,SecondarySpawnDist,RandomizeSecSpawnDist,PickNewTargetAfterPushback,PushbackSpeed,SummonTroop,SummonTroopCount,SummonCooldown,SummonEffect,SummonLimit,SpawnIdle,SpawnOnAttack,StrengthWeight,AuraSpell,AuraSpellLevel,SpawnWhenDamaged,JumpHeightPercent,NoClipping,Squad,WallMovementCost,BurstCount,BurstDelay,AttackMultipleBuildings,IncreasingDamage,DPSLv2,DPSLv3,Lv2SwitchTime,Lv3SwitchTime,AttackEffectLv2,AttackEffectLv3,AttackEffectLv4,TransitionEffectLv2,TransitionEffectLv3,TransitionEffectLv4,TargetedEffectOffset,SecondarySpawnOffset,CustomDefenderIcon,SpecialMovementMod,InvisibilityRadius,HealthReductionPerSecond,AutoMergeDistance,AutoMergeGroupSize,IsUnderground,ProjectileBounces,FriendlyGroupWeight,EnemyGroupWeight,NewTargetAttackDelay,TriggersTraps,ChainShootingDistance,ChainAttackDistance,ChainAttackMaxTargets,ChainAttackDelay,ChainAttackDamageReductionPercent,ChainAttackEffect,PreAttackEffect,MoveStartsEffect,MoveTrailEffect,BecomesTargetableEffect,BoostedIfAlone,BoostRadius,BoostDmgPerfect,BoostAttackSpeed,HideEffect,VillageType,UnitsInCamp,SpecialAbilityLevel,SpecialAbilityName,SpecialAbilityInfo,SpecialAbilityType,SpecialAbilityAttribute,SpecialAbilityAttribute2,SpecialAbilityAttribute3,SpecialAbilitySpell,SpecialAbilityEffect,SpecialAbilityIcon,DisableDonate,ScaleByTH,EnabledByCalendar,EnabledBySuperLicence,LoseHpPerTick,LoseHpInterval,UpgradeLevelByTH,EvolveToCharacter,EvolveEffect,EvolveOnDamageDealt,EvolveTime,CanAttackWhileMoving,PreferredMovementTarget,RetargetAfterHit,Damage2,Damage2Radius,Damage2Delay,Damage2Min,Damage2FalloffStart,Damage2FalloffEnd,DamageMultiplierTarget,DamageMultiplierPercent,FrostOnHitTime,FrostOnHitPercent,DoesNotOpenCC,DefensiveTroop,DamageReductionToStorages,BunkerTroops,BunkerTroopCount1,BunkerTroopCount2,BunkerDegenerationTime,BunkerSpawnDist,HeroDamageMultiplier,PenetratingProjectile,PenetratingRadius,PenetratingExtraRange,ImmuneToHealing,PreferHeroes,DefaultSkin,DefenseBonus
String,int,boolean,String,String,int,int,int,int,int,int,String,int,int,int,String,int,int,int,int,int,int,int,int,int,int,boolean,boolean,String,String,String,String,String,String,String,String,boolean,String,String,String,String,String,boolean,boolean,boolean,int,String,String,String,String,boolean,int,int,String,int,int,String,int,boolean,String,boolean,int,int,boolean,boolean,int,String,int,int,String,int,int,boolean,int,String,int,int,int,boolean,String,int,int,int,boolean,boolean,int,int,int,int,String,String,String,String,String,String,int,int,String,int,int,int,int,int,boolean,int,int,int,int,boolean,int,int,int,int,int,String,String,String,String,String,boolean,int,int,int,String,int,int,int,String,String,String,int,int,int,String,String,String,boolean,boolean,boolean,boolean,int,int,int,String,String,int,int,boolean,String,boolean,int,int,int,int,int,int,String,int,int,int,boolean,String,int,String,int,int,int,int,int,boolean,int,int,boolean,boolean,String,int
Super Barbarian Squad,1,,TID_SUPER_BARBARIANS,TID_CHARACTER_INFO_SUPER_BARBARIANS,20,,,,,,,,,,,,,,,,,,,,,,,sc/ui.sc,icon_unit_elite_barbarian_group_cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,100,,,,,,Super Barbarian Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Barbarian,1,,TID_CHARACTER_ELITE_BARBARIAN,TID_CHARACTER_INFO_ELITE_BARBARIAN,5,1,1,180,800,,,,,,,,,,,45,800,,120,1,,,,sc/ui.sc,icon_unit_elite_barbarian,unit_elite_barbarian_big,sc/info_elite_barbarian.sc,,,,,,Super Barbarian Deploy,Barbarian Attack,,Barbarian Hit,,FALSE,FALSE,TRUE,,Barbarian Die,,Capital Super Barbarian,Super Barbarian Barracks,FALSE,,0,TombStone_CC,,,,,,,,,,,,,,,,,,,,100,,,,75,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,500,500,700,TRUE,,,,,,,,,,,,,,,,,,1,TID_BARB2_ABILITY_NAME,TID_BARB2_ABILITY_HELP,StartRage,8,,,TroopRage,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
,2,,,,,2,2,,900,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,1000,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,1100,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
